De,Ru,Priority,Learned,Skip
"Ja, ich ……… ……… deine Wohnung schon ………, aber wie entscheidest du ……… dafür? (sich vorstellen, sich entscheiden)",,9,0,-
K,,9,0,-
Kein Problem!,No problem!,9,0,-
Klinik,,9,0,-
Komponist,,9,0,-
Kranich,,9,0,-
Krankenversicherung,,9,0,-
Krankheit,,9,0,-
König,,9,0,-
L,,9,0,-
Lehrer,,9,0,-
"Lesen, Hören, Schreiben",,9,0,-
M,,9,0,-
Markus liest ___ Buch an ___ Vormittag.,,9,0,-
Maskulin,,9,0,-
Mathematik,,9,0,-
Max fährt ___ Frankreich ___ sie. — Макс поехал во Францию без неё. (Dativ или Akkusativ),,9,0,-
Medikament,,9,0,-
Meine Nachbarn bezahlen ……… große Geldstrafe.,,9,0,-
Modalverben,,9,0,-
Männlein,,9,0,-
N,,9,0,-
Negation,,9,0,-
Neutrum,,9,0,-
Nominativ,,9,0,-
O,,9,0,-
P,,9,0,-
Patient,,9,0,-
Plural,,9,0,-
Possesivpronomen,,9,0,-
Proben,,9,0,-
Produktmarketing,,9,0,-
Prost,Cheers,9,0,-
Präsens,,9,0,-
Präteritum,,9,0,-
Prüfung,,9,0,-
Publikum,,9,0,-
Q,,9,0,-
R,,9,0,-
Rhythmus,,9,0,-
Röntgen,,9,0,-
S,,9,0,-
Schnee,,9,0,-
Schülerin,,9,0,-
Sie,,9,0,-
Sie arbeiten,,9,0,-
Sie arbeiteten,,9,0,-
Sie haben,,9,0,-
Sie hatten,,9,0,-
Sie lernen,,9,0,-
Sie lernten,,9,0,-
Sie machen,,9,0,-
Sie sind,,9,0,-
Sie spricht mit ___ Lehrer.,,9,0,-
Sie tanzen,,9,0,-
Sie waren,,9,0,-
Sie werden sein (haben),,9,0,-
Sie ……… ……… über neue Nachbarn. (sich ärgern über),,9,0,-
Singular,,9,0,-
Sprechen Sie Russisch?,Вы говорите по-русски?,9,0,-
Stellst du ……… meine neue Wohnung schon ………? (sich vorstellen),,9,0,-
Stopp!,Stop!,9,0,-
T,,9,0,-
Trennbare / untrennbare Präfixe,,9,0,-
Tschüss!,Пока!,9,0,-
Tschüß!,Goodbye! / Bye!,9,0,-
U,,9,0,-
Unbestimmter Artikel,,9,0,-
Und kannst du ……… eine Wohnung oder ein Haus wirklich ………? (sich leisten),,9,0,-
Universität,,9,0,-
Uraufführung,,9,0,-
V,,9,0,-
Verzeihung,извините,9,0,-
Violinistin,,9,0,-
Vorsicht!,Осторожно!,9,0,-
W,,9,0,-
"Wein, Sekt, Kognak, Saft",,9,0,-
Wie heißen Sie?,Как Вас зовут?,9,0,-
Wie lange dauert es?,How long does it take?,9,0,-
Wie viel kostet es?,How much is it?,9,0,-
Willkommen!,Добро пожаловать!,9,0,-
Wir fahren mit ___ Bus.,,9,0,-
Wir gehen ____ dem Kino. — Мы идём из кино. (Dativ или Akkusativ),,9,0,-
Wir gehen ____ der Arbeit ____ Hause. — Мы пойдем после работы домой. (Dativ или Akkusativ),,9,0,-
Wir laufen durch ___ Park.,,9,0,-
Wissen,,9,0,-
Woher kommen Sie?,Откуда Вы?,9,0,-
X,,9,0,-
Y,,9,0,-
Z,,9,0,-
___ Birke wächst in ___ Wald. ,,9,0,-
___ Februar ist ___ Monat der Liebe. ,,9,0,-
___ Feigling spielt nicht Hockey.,,9,0,-
___ Hotel an ___ Oder heißt «___ Eisen».,,9,0,-
___ Lampe und ___ Dose Cola stehen auf dem Tisch.,,9,0,-
___ Montag ist nicht schlecht.,,9,0,-
___ Mädchen wandert in ___ Gebirge. ,,9,0,-
"___ Rhein ist groß, aber ___ Elbe nicht.",,9,0,-
___ Schülerin kriegt ___ Fünf. ,,9,0,-
"___ Sekt schmeckt nicht, aber ___ Bier ist lecker. ",,9,0,-
___ Student ist jung.,,9,0,-
___ Volkswagen ist ____ Auto.,,9,0,-
___ Winter ist nicht so kalt in Deutschland.,,9,0,-
___ Woche ist nicht leicht.,,9,0,-
___ Wolke ist dunkel.,,9,0,-
___ drei Tagen bleibt die Katze ___ mir. — Уже два дня остаётся кошка у меня. (Dativ или Akkusativ),,9,0,-
___ Übung ist sehr leicht.,,9,0,-
ab,(предлоги) с / от (начиная с - в будущем),9,0,-
abends,по вечерам / вечером,3,9,
aber,но,1,0,
abnehmen,худеть,3,9,
abnehmend,убывающий / снижающийся,3,9,
abseits,в стороне от,1,0,
acht,внимание {с} / восьмёрка {м} / восемь,9,0,-
achtzehn,восемнадцать,9,0,-
achtzig,восемьдесят,9,0,-
all,,9,0,-
alle,все,1,0,
allein,один / в одиночку,3,9,
aller,,9,0,-
alles,всё,1,0,
als,по сравнению с,1,9,
also,итак / значит,1,0,
alt,старый,1,0,
am,"an + dem (у, на — местоположение)",9,0,-
am besten,лучше всего,1,0,
an,"у, на (вертикальной поверхности)",9,0,-
anderer,другой,3,9,
anders,по-другому / иначе,1,0,
ans,"an + das (на, к — направление)",9,0,-
ansehen,"смотреть, поглядеть",3,9,
antworten,отвечать,3,0,
arbeiten,работать,3,0,
auch,тоже (подчёркивание; добавление),1,0,
auf,на (горизонтальной поверхности),9,0,-
aufgrund,на основании,3,9,
aufhalten,останавливать / задерживать,3,9,
aufladen,грузить [несов.] / зарядить [электричеством] [сов.] / заряжать [электричеством] [несов.] / погрузка {ж},3,9,
aufm,auf + dem (на — местоположение),9,0,-
aufs,auf + das (на — направление),9,0,-
aufstehen,вставать,3,9,
aus,изнутри,9,0,-
außerm,außer + dem (кроме),9,0,-
baby,,9,0,-
bald,скоро,1,0,
bedeutet,означает,3,9,
bei,возле,9,0,-
bei Grün, на зелёный свет,3,9,
beide,оба,3,9,
beim,"bei + dem (у, при)",9,0,-
bekommen,получать,3,9,
berühmt,знаменитый,3,9,
besser,лучше,1,0,
bestellen,заказывать,3,0,
besuchen,посещать,3,9,
bevor,прежде чем,3,9,
billig,дешёвый,3,9,
bin,,9,0,-
bis,(предлог) до,1,0,
bisschen,немного,3,9,
bist,,9,0,-
bitte,пожалуйста,9,0,-
bitter,горький,3,9,
blau,голубой / синева {ж} / синь {ж} [синева] / синий,3,9,
bleiben,оставаться,3,0,
bloß,только (предостережение),1,0,
boss,,9,0,-
brauchen,нуждаться,3,9,
bringen,приносить / приводить,3,9,
bunt,пёстрый [состоящий из разных элементов] / многокрасочный / разноцветный / пёстро / цветной [пёстрый],3,9,
ch,,9,0,-
chs,,9,0,-
da,"там - близко, разговорно",1,0,
dabei,при этом / вместе с этим,9,0,-
dadurch,посредством этого / из-за этого,9,0,-
dafür,для этого / за это,9,0,-
dagegen,против этого,9,0,-
daher,поэтому / оттуда,9,0,-
dahin,туда / в том направлении,9,0,-
damals,тогда (в прошлом),9,0,-
damit,этим / с этим,9,0,-
danach,после этого,9,0,-
daneben,рядом с этим,9,0,-
danke,спасибо,9,0,-
dann,"потом, затем",1,0,
daran,на этом / в этом,9,0,-
darauf,на этом / на это,9,0,-
daraus,из этого / из того,9,0,-
darin,в этом,9,0,-
darum,поэтому / вот почему,9,0,-
darunter,под этим,9,0,-
darüber,над этим / об этом,9,0,-
das,(предлог) то,1,0,
"das *-chen, *-lein",,9,0,-
das Abendessen,ужин,3,0,
das Auge,,9,0,-
das Auto,машина,3,0,
das Bett,кровать,3,0,
das Bier,пиво,3,0,
das Bild,,9,0,-
das Brötchen,бутерброд,3,9,
das Buch,книга,9,0,-
das Büro,,9,0,-
das Ding,вещь,3,9,
das Dokument,документ,3,9,
das Eis,мороженое,3,9,
das Fahrrad,велосипед {м},3,9,
das Fenster,,9,0,-
das Ferien,каникулы {мн},3,9,
das Fleisch,плоть {ж} [устр.] [книжн.] [тж. перен.] / мясо {с} / мясцо {с} [разг.],3,9,
das Flesh,,9,0,-
das Foto,фото,3,9,
das Gebäude,здание,3,9,
das Gelb, жёлтый,3,9,
das Geld,деньги,3,0,
das Gemüse,овощ {м},3,9,
das Geradeaus,напрямик [разг.] / прямо,3,9,
das Geschenk,подарок,3,9,
das Geschirr,посуда,3,9,
das Gesetz,закон {м},3,9,
das Gespräch,разговор,3,9,
das Getränk,напиток,3,9,
das Glas, бокал,3,9,
das Gold, золото,3,9,
das Gramm,грамм,9,0,-
das Grün, зелёный,3,9,
das Handy,телефон,9,9,-
das Haus,дом,9,0,-
das Heft,,9,0,-
das Hemd,,9,0,-
das Hotel,гостиница {ж} / отель {м},3,9,
das Hähnchen, курочка,3,9,
das Instrument,инструмент,3,9,
das Internet,интернет {м} / инет {м} [разг.],3,9,
das Jahr,год,1,0,
das Jahrhundert,век,1,0,
das Kaninchen,кролик,3,0,
das Kilogramm,килограмм,9,0,-
das Kind,ребенок,9,0,-
das Kino,кинотеатр,3,9,
das Klavier,пианино / фортепиано,3,9,
das Kleid,платье,3,0,
das Konzert,концерт {м},3,9,
das Land,страна,9,9,-
das Leid,страдание,3,9,
das Lied,песня,3,0,
das Medikament,лека́рство {с} / лекарственное средство {с} / лекарственный препарат {м} / медикамент {м},3,9,
das Meer,море {с},3,9,
das Museum,музей {м},3,9,
das Mädchen,девочка,3,0,
das Obst,фрукты {мн},3,9,
das Pfund,фунт,9,0,-
das Problem,вопрос {м} [проблема] / проблема {ж},3,9,
das Prozent,процент,9,0,-
das Rauchen, курение,3,9,
das Raumschiff,космический корабль,3,9,
das Regal,полка {ж} / стеллаж {м},3,9,
das Restaurant,ресторан,3,0,
das Rot, красный,3,9,
das Salz,соль,3,9,
das Silber, серебро,3,9,
das Silvester, канун Нового года,3,9,
das Sofa,диван,9,9,-
das Spielzeug,игрушка,3,9,
das Tee,чай {м} / чаёк {м} [уменьш.],3,9,
das Tier,животное {с} / зверь {м},3,9,
das Video,видео,3,9,
das Wasser,вода,3,9,
das Weihnachten,Рождество,3,0,
das Zimmer,комната,3,9,
dass,что (союз),3,9,
dasselbe,то же самое,3,9,
davon,от этого / об этом,9,0,-
dazu,к этому / для этого,9,0,-
dein,"Притяжательные Винительный, ср. род, du",9,0,-
deine,"Притяжательные Винительный, мн. число, du",9,0,-
deinem,"Притяжательные Дательный, ср. род, du",9,0,-
deinen,"Притяжательные Дательный, мн. число, du",9,0,-
deiner,"Притяжательные Родительный, мн. число, du",9,0,-
deines,"Притяжательные Родительный, ср. род, du",9,0,-
delawaren,,9,0,-
dem,,9,0,-
den,,9,0,-
denken,думать,3,0,
denkst,,9,0,-
denn,потому что,1,0,
der,,9,0,-
der *-el,,9,0,-
der *-en,,9,0,-
der *-er,,9,0,-
der Abend,вечер,1,0,
der April,Апрель,1,0,
der Arbeiter,,9,0,-
der Arm,рука,3,9,
der Arzt,врач {м} / доктор {м} [врач] / медик {м},9,9,-
der August,Август,1,0,
der Ausgang,исход {м} [результат] / выходная дверь {ж} / выход {м},3,9,
der Bahnhof,вокзал,3,9,
der Bauch,живот,3,9,
der Baum,дерево,3,9,
der Bein,нога {ж} [выше ступни],3,9,
der Berg,гора {ж},3,9,
der Beruf,"род {м} занятий / специальность {ж} / профессия {ж} / работа {ж} [занятие, как источник заработка]",3,9,
der Bescheid,уведомление / ответ,3,9,
der Brief,письмо,3,9,
der Bruder,,9,0,-
der Bus,автобус,9,9,-
der Buzzer,,9,0,-
der Computer,компьютер,9,9,-
der Dezember,Декабрь,1,0,
der Dienstag,вторник,1,9,
der Donnerstag,четверг,1,0,
der Eingang,вход {м} / подъезд {м} [вход],3,9,
der Fall,,9,0,-
der Februar,Февраль,1,0,
der Finger,,9,0,-
der Fisch, рыба,9,9,-
der Fluss,река {ж} / течение {с},3,9,
der Freitag,пятница,1,0,
der Freund,друг,9,0,-
der Frühling,весна,1,0,
der Fuß,стопа,3,9,
der Garten,,9,0,-
der Gast,,9,0,-
der Geburtstag,день рождения,3,0,
der Gewitter,гроза {ж},3,9,
der Gott,бог,3,9,
der Herbst,осень,1,0,
der Himmel, небо,3,9,
der Hund,собака,9,0,-
der Hunger,голод,3,9,
der Januar,Январь,1,0,
der Juli,Июль,1,0,
der Junge,мальчик,3,0,
der Juni,Июнь,1,0,
der Kaffee,кофе,3,9,
der Kopf,голова,3,0,
der Krieg,война,3,9,
der Kuchen,пирог,3,9,
der Käse,сыр {м},3,9,
der Lachs,лосось,3,0,
der Liter,литр,9,0,-
der Lohn,зарплата,3,9,
der Lord,,9,0,-
der Löffel,ложка,3,9,
der Mai,Май,1,0,
der Mann,мужчина,3,9,
der Mensch,человек,3,9,
der Meter,метр,9,0,-
der Mittag, полдень,1,0,
der Mittwoch,среда,1,0,
der Moment,момент,3,9,
der Monat,месяц,9,0,-
der Montag,понедельник,1,0,
der Morgen,утро,1,0,
der Mr,,9,0,-
der März,Март,1,0,
der Nachname,фамилия {ж},3,9,
der Nachtisch,десерт {м} / сладкое {с} [десерт],3,9,
der Name,имя,3,0,
der November,Ноябрь,1,0,
der Oktober,Октябрь,1,0,
der Opa,дедушка,3,0,
der Ort,место,3,0,
der Park,парк {м},3,9,
der Pass,паспорт,3,9,
der Passwort,пароль {м},3,9,
der Pfeffer,перец,3,9,
der Plan,план,3,9,
der Platz,площадка {ж} / площадь {ж} [в городе и т. п.] / сидение {с} / место {с} / плац {м},9,9,-
der Quadratmeter,квадратный метр,9,0,-
der Raum,пространство / комната / космос,3,9,
der Regen,дождь,3,9,
der Regenschirm,зонт,3,9,
der Saft,сок,3,9,
der Salat,салят {м} / салат-латук {м} / салат {м},3,9,
der Samstag,суббота,1,9,
der Schmerzmittel,болеутоляющее {с} / болеутоляющее средство {с} / обезболивающее {с} / обезболивающее средство {с},3,9,
der Schnee,снег {м} / снежок {м} [уменьш. к снег],3,9,
der Schrank,шкаф {м},9,9,-
der Schulhof, школьный двор,3,9,
der See,озеро,3,9,
der Sekt, шампанское,3,9,
der September,Сентябрь,1,0,
der Sessel,кресло,9,9,-
der Sinn,смысл,3,9,
der Sir,,9,0,-
der Sohn,сын,9,0,-
der Sommer,лето,1,0,
der Sonntag,воскресенье,1,9,
der Spalt,щель / трещина,3,9,
der Spaß,веселье,3,0,
der Staat,государство,3,9,
der Strand,(морской) берег {м} / взморье {с} / пляж {м} / побережье {с} (моря),3,9,
der Stuhl,стул {м},9,9,-
der Supermarkt,супермаркет {м} / универсам {м} [универсальный магазин самообслуживания],3,0,
der Tag,день,9,0,-
der Teller,,9,0,-
der Teufel,дьявол,3,9,
der Tisch,стол,3,0,
der Tod,смерть,3,0,
der Tunnel,тоннель {м},3,9,
der Urlaub,отпуск {м},3,9,
der Vater,папа,9,0,-
der Vorname,имя {с} [в отличие от фамилии],3,9,
der Wald,лес,3,9,
der Wein,вино,3,9,
der Wetter,держащий {м} пари / погода {ж} / погодка {ж} [разг.],3,9,
der Winter,зима,1,0,
der Wodka, водка,3,9,
der Zentimeter,сантиметр,9,0,-
der Zucker,сахар,3,9,
der Zug,поезд,3,9,
des,,9,0,-
deshalb,поэтому,9,0,-
deswegen,поэтому / из-за этого,9,0,-
dich,,9,0,-
die,,9,0,-
die *-in,,9,0,-
die Adresse,адрес {м},3,9,
die Antwort,ответ,9,0,-
die Anzeige,объявление,3,9,
die Apotheke, аптека) ,3,9,
die Arbeit,работа,3,0,
die Art,вид / способ,3,9,
die Besserung,выздоровление,3,0,
die Birke, берёза,3,9,
die Blume,цветок ,3,9,
die Blumen,цветы,3,0,
die Brücke,мост,3,9,
die Cola, кола,3,9,
die Dose, жестяная/консервная банка,3,9,
die Eltern,родители,3,0,
die Entschuldigung,извинение,3,9,
die Erde,Земля,3,9,
die Erwachsene,взрослые {мн},3,9,
die Etage,этаж,3,0,
die Familie,семья,9,0,-
die Farbe,"окрас {м} / карточная масть {ж} / краска {ж} / цвет {м} [окраска, окрас]",3,9,
die Fenster,окно {с},3,9,
die Frage,вопрос,9,0,-
die Frau,женщина,9,0,-
die Freude,радость,3,9,
die Freunde,друзья,3,0,
die Freundin,подруга,9,0,-
die Gabel,вилка,3,9,
die Gebäude,здание {с} / сооружение {с} [строение] / строение {с},3,9,
die Geige,скрипка,3,9,
die Geschichte,история,3,9,
die Gesundheit,здоровье,3,0,
die Großstadt,большой город,3,9,
die Haltestelle,остановка,3,9,
die Hand,кисть {ж} [руки] / рука {ж} [кисть],9,9,-
die Hauptspeise,основное блюдо {с},3,9,
die Hausaufgabe,домашняя работа,3,0,
die Hilfe,выручка {ж} [разг.] [помощь] / подмога {ж} [разг.] [помощь] / подспорье {с} [помощь] / помощь {ж},3,9,
die Idee,идея,3,9,
die Immobilien,недвижимость,3,9,
die Katze,кошка,3,0,
die Kinder,дети,3,0,
die Kleidung,вещи,3,0,
die Lampe,лампа,3,9,
die Lebensmittel,продукты питания,3,9,
die Lehrer,наставник {м} [учитель] / препод {м} [разг.] / преподаватель {м} / учитель {м},3,9,
die Lehrerin,учительница,9,0,-
die Leute,люди,3,0,
die Liebe,любовь,3,0,
die Limonade, лимонад,3,9,
die Luft,воздух,3,9,
die Maus,мышь,3,0,
die Menschheit,человечество,3,0,
die Milch,молоко,3,0,
die Milliarde,миллиард,3,9,
die Million,миллион,9,0,-
die Minute,минута,1,0,
die Musik,музыка,3,0,
die Mutter,мама,9,0,-
die Nachbar,соседи {мн},3,9,
die Nachricht,сообщение / новость,3,9,
die Nacht,ночь,9,0,-
die Nuss,орех {м},3,9,
die Ode,,9,0,-
die Oma,бабушка,3,0,
die Ordnung,порядок,3,9,
die Pizza,пицца,3,0,
die Polizei,полиция,3,0,
die Probe,проба / репетиция,3,0,
die Puppe,кукла,3,0,
die Rasse,раса,3,9,
die Rechnung,"счёт {м} [за товар, работу] / счёт-фактура {м} / исчисление {с}",3,9,
die Regel,правило,3,9,
die Richtung,курс {м} [направление] / направление {с} / сторона {ж} [направление],3,9,
die Rose,,9,0,-
die Schmerz,боль,3,9,
die Schokolade,шоколад,3,9,
die Schule,школа,3,0,
die Schwester,сестра,3,0,
die Sekunde,секунда,1,0,
die Socken,носки,3,0,
die Sonne,солнце ,3,9,
die Speisekarte,меню {с} [нескл.],3,9,
die Sprache,язык,9,9,-
die Stadt,город,3,9,
die Straße,улица,3,9,
die Stunde,час,1,0,
die Stunden,уроки,3,0,
die Suppe,суп,3,0,
die Tasche,карман {м} / сумка {ж},9,9,-
die Tasse,,9,0,-
die Tochter,,9,0,-
die Treppe,,9,0,-
die Tür,дверь {ж},9,9,-
die Uhr,часы,3,0,
die Vorsicht,бдительность {ж} / опаска {ж} [разг.] / осторожность {ж},3,9,
die Vorspeise,закуска {ж} [перед основной едой],3,9,
die Wand,стена {ж},9,9,-
die Woche,неделя,1,0,
die Wohnung,квартира,3,9,
die Wolke, облако,3,9,
die Wörter,слова,3,0,
die Zahnbürste,зубная щётка {ж},3,9,
die Zeit,время,3,0,
die Zeitung, газета,3,9,
die Zimmer,номер {м} [в гостинице] / горница {ж} [устр.] [комната] / комната {ж},3,9,
die Zukunft,будущее,3,9,
die Ärztin,врач {м} [женщина] / врачиха {ж} [разг.] / докторша {ж} [разг.] [женщина-врач],3,9,
die/das App,приложение,3,9,
dies,этот,1,0,
diese,,9,0,-
diesem,,9,0,-
diesen,,9,0,-
dieser,,9,0,-
dieses,,9,0,-
dir,,9,0,-
doch,наоборот(опровержение отрицания),1,0,
dort,там,1,0,
drei,,9,0,-
dreizehn,тринадцать,9,0,-
dreißig,тридцать,9,0,-
du,,9,0,-
du arbeitest,,9,0,-
du arbeitetest,,9,0,-
du bist,,9,0,-
du hast,,9,0,-
du hattest,,9,0,-
du lernst,,9,0,-
du lerntest,,9,0,-
du machst,,9,0,-
du tanzt,,9,0,-
du warst,,9,0,-
du wirst sein (haben),,9,0,-
du; dürfen,,9,0,-
du; können,,9,0,-
du; möchten,,9,0,-
du; mögen,,9,0,-
du; müssen,,9,0,-
du; sollen,,9,0,-
du; wollen,,9,0,-
dumm,глупый ,3,9,
dunkel,тёмный ,3,9,
durch,через (сквозь),9,0,-
dürfen,,9,0,-
eben,именно / так и есть,3,9,
ebenfalls,взаимно / также,3,9,
ei,,9,0,-
eigentlich,вообще-то / собственно говоря,3,9,
ein,,9,0,-
eine,,9,0,-
einem,,9,0,-
einen,,9,0,-
einer,один / некто,3,9,
eines,,9,0,-
einfach,просто,3,9,
einige,некоторые,3,9,
einmal,однажды / разок,3,9,
eins,единица {ж} [число] / один [при счёте],9,0,-
elf,одиннадцать,9,0,-
empfehlen,советовать,3,9,
entlang,вдоль,1,0,
entweder,либо,3,9,
er,,9,0,-
"er, sie, es arbeitet",,9,0,-
"er, sie, es macht",,9,0,-
"er, sie, es tanzt",,9,0,-
er/sie/es arbeitete,,9,0,-
er/sie/es hat,,9,0,-
er/sie/es hatte,,9,0,-
er/sie/es ist,,9,0,-
er/sie/es lernt,,9,0,-
er/sie/es lernte,,9,0,-
er/sie/es war,,9,0,-
er/sie/es wird sein (haben),,9,0,-
erster,первый,3,9,
es,,9,0,-
essen,есть (кушать),3,0,
etwas,что-то / немного,1,0,
eu,,9,0,-
euch,,9,0,-
euer,"Притяжательные Винительный, ср. род, ihr",9,0,-
euere,"Притяжательные Винительный, мн. число, ihr",9,0,-
euerem,"Притяжательные Дательный, ср. род, ihr",9,0,-
eueren,"Притяжательные Дательный, мн. число, ihr",9,0,-
euerer,"Притяжательные Родительный, мн. число, ihr",9,0,-
eueres,"Притяжательные Родительный, ср. род, ihr",9,0,-
eurer,,9,0,-
fahren,ездить,3,0,
fallen,падать,3,0,
falls,в случае если,3,9,
falsch,неправильно / ложный,3,9,
fangen,ловить,3,9,
fast,почти,1,0,
fast immer,почти всегда,1,0,
fast nie,почти никогда,1,0,
finden,находить / считать,3,0,
fragen,спросить,3,0,
frisch,свежий,3,9,
froh,радостный,3,9,
früh,рано,3,9,
früher,прежде / ранее / раньше,3,9,
frühstücken,завтракать,3,0,
fühlen,чувствовать,3,0,
fünf,пятёрка {ж} / пять,9,0,-
fünfzehn,пятнадцать,9,0,-
fünfzig,пятьдесят,9,0,-
für,для,9,0,-
fürs,für + das (для),9,0,-
ganz,весь / совсем,1,0,
ganze,весь / целый,3,9,
gar,совсем (усиление; часто с отрицанием),1,0,
geben,давать,3,0,
gegen,против,9,0,-
gegenüber,напротив,1,0,
gehen,идти,3,0,
gehen - Gang,,9,0,-
gehören, принадлежать,3,9,
gelb,жёлтый,3,9,
gelegentlich,изредка,1,9,
genau,точно,3,0,
genug,достаточно,3,9,
gerade,прямо / как раз,3,9,
gerecht,справедливый ,3,9,
gerne,охотно / с удовольствием,3,9,
gesamt,весь / общий,3,9,
gestern,вчера,1,0,
gesund,здоровый,3,0,
gewöhnlich,обычно,1,9,
glauben,верить / считать,3,9,
gleich,равно / вот-вот,1,0,
gleichzeitig,одновременно,1,0,
groß,большой/взрослый,1,0,
gruss,приветствие,9,0,-
grün,неспелый / зелёный,3,9,
gut,хорошо,1,0,
gute Laune,хорошее настроение,3,9,
günstig, доступный по цене,3,9,
habe,,9,0,-
haben,,9,0,-
hallo,здравствуйте,9,0,-
halt,просто / вот так,3,0,
halten,держать / останавливаться,3,9,
hast,,9,0,-
hat,,9,0,-
heiß,горячий,3,9,
heißen,называться,3,9,
helfen,помогать,3,0,
hell,яркий ,3,9,
her,сюда,1,0,
herum,вокруг,3,9,
herzen,обнимать,3,0,
herzlich,сердечно,3,0,
heute,сегодня,1,0,
hey,,9,0,-
hier,здесь,1,0,
hin,туда,1,9,
hinter,за,9,0,-
hinterm,hinter + dem (за — местоположение),9,0,-
