Question,Answer
Какие сладости едят дети охотно? Эти сладости едят дети охотно.,Welche Süßigkeiten essen Kinder gern? Diese Süßigkeiten essen Kinder gern.
Какой собаке он дает эту еду? Этой собаке он дает еду.,Welchem Hund gibt er das Essen? Diesem Hund gibt er das Essen.
Какие фотографии они смотрят? Эти фотографии они смотрят.,Welche Fotos sehen sie? Diese Fotos sehen sie.
Какой женщине ты это присылаешь? Этой женщине ты присылаешь это.,Welcher Frau schickst du es? Dieser Frau schickst du es.
Какому продавцу он звонит? Он звонит этому продавцу.,Welchen Verkäufer ruft er an? Diesen Verkäufer ruft er an.
Какое видео присылает мальчик? Это видео присылает мальчик.,Welches Video schickt der Junge? Dieses Video schickt der Junge.
Какое обследование сейчас необходимо? Это обследование сейчас необходимо.,Welche Untersuchung ist jetzt nötig? Diese Untersuchung ist jetzt nötig.
Какая лестница опасна? Эта лестница опасная.,Welche Treppe ist gefährlich? Diese Treppe ist gefährlich.
Какое расписание они планируют? Это расписание они планируют.,Welchen Tagesablauf planen sie? Diesen Tagesablauf planen sie.
Какой школьный предмет ты считаешь интересным? Этот школьный предмет ты считаешь интересным.,Welches Schulfach findest du interessant? Dieses Schulfach findest du interessant.
Какой торт вкусный? Этот торт вкусный.,Welche Torte ist lecker? Diese Torte ist lecker.
Какое цепочка красивая? Эта цепочка красивая.,Welche Kette ist schön? Diese Kette ist schön.
Какая теория правильная? Эта теория правильная.,Welche Theorie ist richtig? Diese Theorie ist richtig.
Какая команда популярная? Эта команда популярная.,Welche Mannschaft ist populär? Diese Mannschaft ist populär.
Какое упражнение сложное? Это упражнение сложное.,Welche Übung ist kompliziert? Diese Übung ist kompliziert.
Какое правило изучает ученик? Это правило изучает ученик.,Welche Regel lernt der Schüler? Diese Regel lernt der Schüler.
Какой прогноз погоды неправильный? Этот прогноз погоды неправильный.,Welche Wettervorhersage ist falsch? Diese Wettervorhersage ist falsch.
Какой девочке он дарит куклу? Этой девочке он дарит куклу.,Welchem Mädchen schenkt er die Puppe? Diesem Mädchen schenkt er die Puppe.
Какие очки мне подходят? Эти очки мне подходят.,Welche Brille passt mir? Diese Brille passt mir.
Какой ковер лежит здесь? Этот ковер лежит здесь.,Welcher Teppich liegt hier? Dieser Teppich liegt hier.
