Wort,Ru
ab,с [+gen.]
kinder,детвора {ж} [разг.] [собир.] / дети {мн} / малышня {ж} [разг.] [собир.] / ребята {мн} [дети] / ребятня {ж} [собир.] [разг.] [дети]
gebiet,область {ж} [тж. перен.] / зона {ж} / местность {ж}
jahren,
richter,судья {м}
besatzungszone,оккупационная зона {ж}
pakt,пакт {м}
schwarz,вороной / налево [разг.] [незаконно] / чёрный
verheiratet,"замужняя / женатый / семейный [имеющий семью, состоящий в браке]"
entscheiden,решать [принимать решение] [несов.]
ob,обь {ж} [река] / обь {м} [город] / ли
schule,школа {ж}
einwohnerinnen,
dazu,в придачу [разг.]
diktatur,диктатура {ж}
kein,нету [разг.] / ни [перед существительным] / ни один
anhalt,
monarchie,монархия {ж}
volk,люд {м} [собир.] [разг.] / народ {м} / язык {м} [устр.] [народ]
sozialversicherung,социальное страхование {с}
minister,министр {м}
erste,
welchen,
dadurch,благодаря этому / вследствие этого / тем самым
welcher,какой / кой [разг.] [устр.] [который] / который
bezahlt,оплаченный
deshalb,вот почему / из-за этого / оттого / посему [устр.] / потому / поэтому
geht,
ordnungsamt,[городское ведомство правопорядка в германии и австрии]
zusammen,вкупе [устр.] / вместе / воедино / слитно
wo,где
entscheidet,
mehrheit,большинство {с}
alter,старый {м} [разг.] / чувак {м} [разг.] [жарг.] / батька {м} [разг.] [отец] [тж. обращение к пожилому человеку] / батя {м} [разг.] [отец] / пахан {м} [жарг.] [отец] / старик {м} / старикан {м} [разг.] [шутл.] / старикашка {м} [разг.] [презр.] / старичишка {м} [разг.] [презр.] / старичок {м} [разг.] [уменьш.] / старичонка {м} [разг.] [презр.] / старость {ж} [преклонный возраст] / возраст {м}
parlaments,
chef,"начальник {м} / глава {м} [учреждения, предприятия и т. п.] / пахан {м} [жарг.] [руководитель предприятия, фирмы, заведения и т. п.] / руководитель {м} / шеф {м}"
weiter,далее [дальше] / дальше / шире
spricht,
nationalsozialisten,национал-социалисты {мн}
hitler,
konrad,
adenauer,
zweite,
wurden,
nachfrage,запрос {м} / спрос {м}
brandenburg,бранденбург {м}
hessen,гессен {м} / гессенцы {мн}
rollstuhl,(инвалидная) коляска {ж} / инвалидное кресло {с} / кресло-каталка {с} [разг.] / кресло-коляска {с}
gilt,
wahlrecht,избирательное право {с}
geld,деньги {мн} / деньжонки {мн} [разг.] [презр.]
gesetz,закон {м}
steht,
gleich,одинаково / такой же / немедленно / одинаковый / равный / ровно [одинаково]
jeder,каждый / кажинный [устр.] [каждый] / любой
begriff,представление {с} [о чём-л.] / понятие {с}
mecklenburg,
vorpommern,
einheit,подразделение {с} [структурная единица] / единица {ж} [измерения] / единство {с} / отряд {м}
religionsgemeinschaften,
bilden,сформировать [сов.] / формировать [несов.]
eigene,
warum,отчего / почему
politische,
marktwirtschaft,рыночная экономика {ж}
staatsgewalt,государственная власть {ж}
bundesverfassungsgericht,федеральный конституционный суд {м} [фрг]
vier,четвёрка {ж} / четыре
kontrolliert,подконтрольный / проверено
helmut,
sitzt,
geben,дача {ж} [сущ. к дать] / давать [несов.] / дать [сов.] / пода́ть [сов.] / подавать [несов.]
dieser,сей [этот] / этот
bezeichnet,
arbeitgeberin,
buslinie,автобусный маршрут {м}
mich,меня
mitglied,"член {м} [семьи, партии, клуба и т. п.]"
arbeitet,
fur,
mauer,стенка {ж} [в футболе] / стена {ж} [особ. каменная наружная]
gab,
angebot,(коммерческое) предложение {с} [оферта с указанием цены] / предлагаемый товар {м} / ассортимент {м} / оферта {ж} / предложение {с}
weltkrieges,
heutige,
gehorte,
fruher,
nichts,нечего / ничего [ничто] / ничто
mussen,
tochter,доча {ж} [разг.] / дочка {ж} [разг.] / дочь {ж}
fernseher,телевизор {м}
teilnimmt,
gemeint,имел в виду
halten,останавливаться [несов.] / соблюдать [несов.] / держать [несов.]
gerichte,блюда {мн} [кушанья]
meinung,взгляд {м} [мнение] / мнение {с}
grundrecht,основное право {с}
familie,семья {ж} / семейство {с} [тж. биол.] / фамилия {ж} [книжн.]
pressefreiheit,свобода {ж} печати
aber,а / но / однако
denn,так как / ведь / же [в значении усилительной частицы] / ибо [книжн.] / потому что
meine,
seinen,
beruf,"род {м} занятий / специальность {ж} / профессия {ж} / работа {ж} [занятие, как источник заработка]"
andere,другой / иной [другой]
kleinen,
firma,компания {ж} / фирма {ж}
sozialer,
bundesstaat,
getrennt,отдельно / порознь / раздельный [отдельный]
krankenversicherung,медицинское страхование {с} / страхование {с} на случай болезни
volke,
bundestages,
bundeslandes,
linke,коммуняка {ж} [разг.] [презр.]
bundestagswahl,выборы {мн} в бундестаг
finanzamt,налоговое управление {с} / финансовое управление {с}
befinden,самочувствие {с}
verlieren,проиграть [сов.] / проигрывать [несов.] / утрачивать [несов.] / лишаться [несов.] / лишиться [сов.] / потерять [сов.] / терять [несов.] [+akk.]
arbeitgeberinnen,
schreiben,письмо {с} / бумага {ж} [документ] / грамота {ж} [устр.] [письмо] / писание {с} / написа́ть [сов.] / писа́ть [несов.]
alt,старинный / древний / давний / альт {м} [голос и певец] / альтбир {м} [тёмный сорт пива] / лежалый [разг.] / старый
seit,с [такого-то времени] / с тех пор как
geheim,засекреченный / затаённый / конфиденциальный [секретный] / негласный [тайный] / подпольный [перен.] [тайный] / потайной / потаённый [разг.] [тайный] / секретный / скрытый [тайный] / сокровенный [хранимый в тайне] / тайный
bekommen,получать [несов.] / получить [сов.] / приобретать [несов.] [получать]
ihren,
erhalten,получить [сов.] / сохранять [несов.] / получать [несов.]
aktives,
wollen,шерстяной / желать [несов.] [хотеть] / захотеть [сов.] / хотеть [несов.]
person,особа {ж} [тж. презр.] / лицо {с} / персона {ж}
kleine,малютка {ж} [разг.] [ребёнок] / крошка {ж} [разг.] [о ребёнке] / малышка {ж} [разг.] [ребёнок]
stimme,голос {м}
macht,сила {ж} / власть {ж} / могущество {с} / мощь {ж}
chefin,"глава {ж} [учреждения, предприятия и т. п.]"
ihrer,
anderen,
jugendliche,девочка-подросток {ж} / ребята {мн} [разг.] [молодые люди]
beginn,зачин {м} [устр.] [начало] / начало {с} / почин {м} [разг.] [начало]
europa,европа {ж}
nationalsozialismus,национал-социализм {м} [официальная идеология фашистской германии]
polen,соединять с полюсом / польша {ж} / поляки {мн}
stadt,город {м}
uhr,часики {мн} [уменьш.] / часы {мн}
nato,нато {м} {ж} {с} [нескл.] [организация североатлантического договора]
staaten,
beitritt,вступление {с} [в организацию] / присоединение {с} [кого-либо к организации]
kohl,капуста {ж}
wiedervereinigung,воссоединение {с}
nachbarland,соседняя страна {ж}
stellen,поставить [сов.] [поместить куда-л.] / ставить [несов.]
ihrem,
anmelden,"подавать заявку [напр. на участие в конкурсе] / вносить в список [учащихся, членов какой-л. организации и т. п.]"
gut,"ладно [разг.] [вполне успешно, как полагается] / имение {с} / поместье {с} / товар {м} / хороший / хорошо"
bestraft,наказанный
einwohnermeldeamt,адресный стол {м}
erwachsene,взрослые {мн}
abendgymnasium,
frauen,женщины {мн}
hohe,
gehaltsvorstellungen,
rechnung,"счёт {м} [за товар, работу] / счёт-фактура {м} / исчисление {с}"
lernen,"учение {с} [изучение] / ученье {с} [изучение] / учёба {ж} / выучить [сов.] [усвоить] / заниматься [несов.] [учиться, обучаться] / научиться [сов.] / учить [несов.] / учиться [несов.]"
glauben,"верить [несов.] / полагать [думать, считать] [несов.] / доверие {с} / поверить [сов.]"
offen,"открытый [тж. перен] / откровенный [искренний] / распахнутый / свободный [незанятый, вакантный] / незащищённый [открытый] / явный / открыто"
etwas,кое-что / нечто / что-либо <что-л.> / что-нибудь / что-то / немного / немножко [разг.]
sagen,высказать [сов.] / высказывать [несов.] / поведать [сов.] [устр.] [книжн.] / говорить [несов.] / молвить [сов./несов.] [разг.] / проговорить [сов.] [сказать] / промолвить [сов.] / сказать [сов.]
religionsfreiheit,свобода {ж} вероисповедания
rechtsstaat,правовое государство {с}
noch,ещё / пока ещё
viel,гораздо / много
genannt,именуемый / упомянутый
abschaffen,упразднять [несов.]
dass,что / чтобы
religion,религия {ж} / вера {ж} [разг.]
nordrhein,
westfalen,вестфалия {ж}
pressezensur,
bildung,образование {с} / образованность {ж}
staatliche,
sicherheit,уверенность {ж} / безопасность {ж}
ministerin,министр {м} [женщина]
armee,армия {ж}
beginnt,
vertreten,"защищать [чьи-л. права, интересы и т. п.] [несов.] / представлять [какое-л. лицо или организацию] [несов.]"
staatsoberhaupt,глава {м} {ж} государства
aufgaben,
gehort,
kindergeld,
planwirtschaft,плановая экономика {ж} / плановое хозяйство {с}
demonstrieren,продемонстрировать [сов.] / показывать [несов.] / демонстрировать [несов.] [принимать участие в демонстрации]
grund,донышко {с} [уменьш.] / дно {с} / причина {ж} / резон {м} [разг.] [устр.] [причина]
verhaftet,арестованный
amt,ведомство {с} [учреждение] / пост {м} [должность] / бюро {с} [нескл.] [учреждение]
abgeordneter,депутат {м}
heute,ныне [нареч.] [разг.] [сегодня] / ныне [нареч.] [возв.] [в настоящее время] / сегодня {с} [нескл.] / нынче [разг.] [сегодня] / сегодня
bundeskabinett,
allem,
kanzler,канцлер {м}
dort,там
bundeskanzleramt,ведомство {с} федерального канцлера германии / ведомство {с} федерального канцлера австрии
schloss,дворец {м} / за́мок {м} / замо́к {м}
christlicher,
einhaltung,соблюдение {с}
schwieriger,
kommen,прибывать [несов.] / пожаловать [сов.] [устр.] [шутл.] [прийти] / кончать [несов.] [груб.] [испытывать оргазм] / наступить [сов.] [настать] / наезжать [несов.] [разг.] [приезжать в большом количестве] / наехать [сов.] [разг.] [приехать в большом количестве] / прийти [сов.] / приходить [несов.] / явиться [сов.] [прийти]
ins,
jede,
fest,твёрдый [перен.] / торжество {с} [праздник] / празднество {с} / крепкий / крепко / твёрдо
lange,долго
helfen,подсобить [сов.] [разг.] / подсоблять [несов.] [разг.] / помогать [несов.] / помочь [сов.]
ehrenamtliche,волонтёрка {ж}
lebt,
zwang,принуждение {с}
mir,мне
wen,кого
mindestanteil,
grundsatz,основное правило {с} / правило {с} [принцип] / принцип {м}
sicher,наверно [несомненно] / безопасный / надёжный / уверенно
freiwillig,добровольно / добровольный / доброхотный [устр.] [добровольный] / по доброй воле
bezahlen,выложить [разг.] [сов.] [заплатить] / заплатить [сов.] / платить [несов.] / расплатиться [сов.] [заплатить] / уплатить [сов.]
soldaten,
erlaubt,разрешённый
abgeben,отдать [сов.]
immer,всё [перед сравн. ст.] / всегда
konnen,
sportverein,спортивное общество {с}
wende,"перевал {м} [разг.] [изменение в развитии, ходе, течении чего-л.] / поворот {м} [тж. перен.] / политический перелом {м} [крах социалистической системы в гдр и восточной европе] / оборот {м}"
unternehmen,начинание {с} [книжн.] / компания {ж} / предприятие {с} / предпринять [сов.]
nachbarn,соседи {мн}
strafe,кара {ж} / взыскание {с} / наказание {с} / расправа {ж} [наказание] / штраф {м}
adolf,
reich,рейх {м} [фашистская германия] / государство {с} [империя] / империя {ж} / царство {с} [государство] / богато / богатый / денежный [разг.] [богатый]
juden,иудеи {мн}
synagogen,
richtet,
pakts,
verantwortlich,ответственный
kpd,
westen,запад {м}
feiertag,праздник {м}
flagge,флаг {м}
ministerium,министерство {с}
beigetreten,
auch,"и [также, даже] / также / тоже"
montags,по понедельникам
geheimdienst,секретная служба {ж} / спецслужба {ж} [агентурная разведка]
passkontrolle,паспортный контроль {м}
reisen,разъезды {мн} [поездки] / ездить [несов.] [путешествовать] / путешествовать [несов.]
tschechien,чехия {ж}
meint,
demonstration,показ {м} / демонстрация {ж}
braucht,
heiraten,жениться [тк. сов.] [разг.] [о мужчине и женщине]
standesamt,бюро {с} записи актов гражданского состояния <загс> / загс {м}
scheidung,развод {м} [расторжение брака]
jugendamt,(местное) управление {с} по делам молодёжи [орган попечения о несовершеннолетних]
gleichbehandlung,
niemand,никого / никто
benachteiligt,обездоленный
zehn,"десятка {ж} [цифра; игральная карта; о трамвае, автобусе и т. п.] / десять"
brauch,обряд {м} / обычай {м}
eier,яйца {мн}
tannenbaum,рождественская ёлка {ж}
selben,
diskriminierung,дискриминация {ж}
englisch,английский / английский язык {м}
beispiel,образец {м} / пример {м} [образец]
regeln,правила {мн} / улаживать [несов.] / урегулировать [сов.] / устроить [привести в порядок] [сов.]
dunkle,
lohnsteuer,подоходный налог {м}
kirche,храм {м} [церковь] / церковь {ж}
migranten,
gastarbeiter,гастарбайтер {м}
gastarbeiterinnen,
blau,голубой / синева {ж} / синь {ж} [синева] / синий
hier,здесь / тут [здесь ] [разг.]
steuern,управлять [несов.] [направлять] / налоги {мн} / вести́ [несов.] [управлять] / направлять [несов.] / править [несов.] [управлять] / рулить [несов.]
zahlen,цифры {мн} / платить [несов.] / уплатить [сов.] / уплачивать [несов.]
lebensjahr,год {м} жизни
ihres,
kindes,
religionsunterricht,преподавание {с} закона божьего
grundrechten,
bestimmten,
stimmabgabe,
garantiert,наверняка [разг.]
wohnung,квартира {ж}
schutz,заслон {м} / заступничество {с} / защита {ж} / кров {м} [поэт.] [защита] / покровительство {с} [защита]
ja,угу [разг.] [выражает согласие] / да
nein,нет / нетушки [разг.]
opposition,оппозиция {ж} / противостояние {с}
letzten,
regierungspartei,правящая партия {ж}
falsche,
nazi,фашист {м} [разг.] [нацист] [презр.]
tragen,держать [несов.] [нести] / нести [несов.] / носить [несов.]
ausland,заграница {ж} [собир.] [разг.]
falscher,
kritik,критика {ж}
verbieten,воспретить [сов.] / воспрещать [несов.] / запретить [сов.] / запрещать [несов.]
versammlungsfreiheit,свобода {ж} собраний
wohnort,адрес {м} [местожительство] / место {с} жительства / местожительство {с}
wechseln,обменивать [деньги] [несов.] / разменивать [несов.] [деньги] / обмениваться [несов.] [чем-л.] / менять [несов.] / переменять [несов.] [сменить] / сменить [сов.] [переменить] / сменять [несов.]
ziel,цель {ж}
dann,"впоследствии [нареч.] / далее [затем] / потом / то [тогда] / тогда [в таком случае, при таких условиях]"
ehrenamtlich,на общественных началах
eigenen,
sozialistischer,
wirtschaft,черносошное хозяйство {с} [устр.] / хозяйство {с} / экономика {ж}
wahlberechtigte,"избирательница {ж} [лицо, имеющее право голоса]"
verschiedene,
zusammenarbeit,сотрудничество {с}
rennt,
gesetzgebung,законодательство {с}
richtig,верный [правильный] / корректный / настоящий / верно / достоверный [правильный] / правильно / правильный
voneinander,друг о друге / друг от друга
womit,с чем / чем
sozialabgaben,
regierungschefs,
regierungschefinnen,
bundeslander,
erster,первый
jedes,
nationalhymne,государственный гимн {м} / национальный гимн {м}
einigkeit,единогласие {с} / единодушие {с}
freiheit,воля {ж} [свобода] / раздолье {с} [перен.] [разг.] [полная свобода] / свобода {ж}
unterschiedlichen,
meinungen,
politik,политика {ж}
verboten,запретный / запрещено / запрещённый
wahlkampf,выборная кампания {ж} / предвыборная кампания {ж}
neue,
pflegeversicherung,страхование {с} на случай необходимости постоянного ухода
baut,
versorgt,
urlaubsreisen,
bestimmt,поди [разг.] [наверное] / предназначенный / наверно [несомненно] / непременно / определённый
lehrer,наставник {м} [учитель] / препод {м} [разг.] / преподаватель {м} / учитель {м}
zentralwirtschaft,
privatpolizei,
jemand,кто-то / некто
einhalten,соблюдать [несов.] / соблюсти [сов.]
pfarramt,
meistens,большей частью / в большинстве случаев / чаще всего
ehemaliger,
ehemalige,
pds,
wasg,
landtagswahl,выборы {мн} в парламент земли [германии и австрии]
europawahl,
bund,пояс {м} брюк / лад {м} [поперечное деление на грифе струнных инструментов] / общество {с} [организация] / союз {м} / пучок {м}
kommunen,
heinrich,генрих {м}
hoffmann,
fallersleben,
schulabschluss,окончание {с} школы / школьное образование {с}
gemeinden,
ministerinnen,
kanzlerin,канцлер {м} [женщина] / канцлерша {ж} [разг.]
bonn,бонн {м}
empfangen,получить [сов.] / полученный / принимать [несов.] / принять [сов.]
klaus,
frank,
walter,
steinmeier,
grundgesetzes,
amtsgericht,суд {м} низшей инстанции / суд {м} первой инстанции / участковый суд {м}
hauptaufgabe,
regierungsvertreter,представитель {м} правительства / резидент {м} [представитель правительства]
regieren,"управлять [государством, тж. грам.] [несов.] / царствовать [несов.] [властвовать]"
leichter,лихтер {м} / легче
zweitstimmen,
erststimmen,
sitze,
teilnehmen,участвовать [несов.]
schulpflicht,обязательное школьное обучение {с}
schweigepflicht,обязанность {ж} неразглашения / обязанность {ж} сохранения тайны [для представителей определённых профессий]
personalausweis,удостоверение {с} личности
automatisch,машинально / машинальный / автоматический
angestellt,
einmal,"единожды [один раз] / однова [однажды, один раз] / однажды [когда-то; один раз] / как-то [однажды] / один раз"
lebensversicherung,страхование {с} жизни
gesetzliche,
arbeitslosenversicherung,страхование {с} по безработице
gewerkschaften,
rentner,рантье {м} [нескл.] / пенсионер {м}
rentnerinnen,
bundesverdienstkreuz,орден {м} «за заслуги перед федеративной республикой германия»
bundestagsfraktionen,
verliert,
diese,эта / эти
oft,зачастую [разг.] / нередко / часто
arbeitszeit,время {с} работы / рабочее время {с}
wahlhelfern,
alten,
zwischenergebnisse,
wahlhelferinnen,
kindern,
normalerweise,как правило [обычно] / обычно
drei,тройка {ж} / три
mindestalter,минимальный возраст {м}
erreicht,достигнутый
arbeitsplatz,место {с} работы / рабочее место {с}
mein,
mehrheits,
anwesenheitskontrolle,контроль {м} присутствия
abstimmungen,
willen,
wechsel,смена {ж} / вексель {м} / перемена {ж} [изменение]
wahlbenachrichtigung,
benachrichtigung,авизо {с} [нескл.] / извещение {с} [сообщение] / оповещение {с} / уведомление {с}
vielen,
regierungsbildung,формирование {с} правительства
erschweren,"отягчать [книжн.] [перен.] [делать более тягостным, трудным, мучительным] [несов.] / отягощать [несов.] [об обстоятельствах] / затруднять [несов.] / осложнить [сов.] / осложнять [несов.]"
politiker,политик {м} / политический деятель {м}
oberhaupt,
freizeit,досуг {м} / свободное (от работы) время {с} / шабашка {ж} [устр.] [разг.] [свободное (от работы) время]
soldatinnen,
unbezahlt,
vereinen,совместить [сов.] [соединить] / совмещать [несов.] [соединять] / объединить [сов.] / совокупить [сов.] [книжн.] [объединить]
briefwahl,письменные выборы {мн}
will,
beteilige,
erhaltung,сохранение {с}
selber,
initiative,инициатива {ж} / почин {м} [инициатива]
brief,письмо {с}
ungerechtfertigter,
problemen,
arbeitsgericht,суд {м} по трудовым делам
erheben,взимать [несов.]
anzeigen,показывать [несов.] [о приборах] / указывать на что-л. [несов.]
kommt,
straftat,(уголовное) преступление {с} / криминал {м} [разг.] [уголовное преступление] / уголовка {ж} [разг.] [уголовное преступление] / уголовно наказуемое деяние {с} / уголовщина {ж} [разг.] [уголовное преступление]
begangen,совершённый
angeklagt,
vertritt,
richtern,
richterinnen,
schuld,долг {м} [денежный и т. п.] / задолжность {ж} / вина́ {ж} / грех {м} [вина] / виноватый [провинившийся в чём-л.] / виновный
rechtsanwalt,адвокат {м} / защитник {м}
richters,
urteile,
rechtsprechenden,
geteilt,раздельный [отдельный]
sprechen,разговаривать (с) [несов.] / высказывание {с} [процесс] / разговор {м} [процесс] / говорить [несов.] / гуторить [несов.] [разг.] [разговаривать] / молвить [сов./несов.] [устр.] [говорить] / поговорить [сов.]
gesetzen,
gerichtsschoffe,
gerichtsschoffin,
ehrenamtlicher,волонтёр {м}
baute,
mai,май {м}
berliner,берлинский / берлинец {м} / берлинер {м} [берлинский пончик] / берлинский пончик {м} [с начинкой]
weltkriegs,
dritte,
staatlichen,
rassismus,расизм {м}
attentat,покушение {с}
juli,июль {м}
montagsdemonstrationen,
schweden,швеция {ж} / шведы {мн}
verbot,запрет {м} / запрещение {с}
sorgt,
sozialen,
ausgleich,возмещение {с} ущерба / компенсация {ж}
amerikanischen,
sowjetischen,
juni,июнь {м}
west,
versorgung,обеспечение {с} / обслуживание {с} / снабжение {с} [обеспечение]
flugzeug,самолёт {м}
angst,тревога {ж} [беспокойство] / испуг {м} / боязнь {ж} / страх {м}
unterbrach,
gesamten,
verkehr,"половое сношение {с} / движение {с} [уличное, дорожное]"
landwege,
bedingungslose,
kapitulation,капитуляция {ж}
ludwig,
erhard,
alliierten,
bat,
polnischen,
vergebung,прощение {с}
sed,
sehr,очень
stunde,час {м}
darunter,в том числе / ниже / среди них
verstand,разум {м} / рассудок {м} / ум {м}
wiederaufbaus,
hammer,молот {м} / молоток {м}
zirkel,кружок {м} [по интересам] / кольцо {с} [круг] / циркуль {м} / кружки́ {мн} [объединения]
gebaut,
eigener,
tag,сутки {мн} / день {м} / тег {м}
niedersachsen,нижняя саксония {ж}
baden,баден {м} / купание {с} / искупать [сов.] [разг.] / искупаться [сов.] [разг.] / купаться [несов.]
stasi,
staatssicherheit,государственная безопасность {ж}
schleswig,шлезвиг {м}
holstein,гольштейн {м}
besetzt,занято [о набираемом телефонном номере] / занятый
heutigen,
montag,понедельник {м}
regime,режим {м} [государственный строй]
ersten,
landesweite,
streiks,
volksaufstand,народное восстание {с}
farben,
gold,золото {с} <au> / злато {с} [устр.] [книжн.]
gelb,жёлтый
kamen,
gedenktag,годовщина {ж}
