Question,Answer
sein,"Притяжательные Именительный, муж. род, er"
sein,"Притяжательные Именительный, ср. род, er"
seine,"Притяжательные Именительный, жен. род, er"
seine,"Притяжательные Именительный, мн. число, er"
seinen,"Притяжательные Винительный, муж. род, er"
sein,"Притяжательные Винительный, ср. род, er"
seine,"Притяжательные Винительный, жен. род, er"
seine,"Притяжательные Винительный, мн. число, er"
seinem,"Притяжательные Дательный, муж. род, er"
seinem,"Притяжательные Дательный, ср. род, er"
seiner,"Притяжательные Дательный, жен. род, er"
seinen,"Притяжательные Дательный, мн. число, er"
seines,"Притяжательные Родительный, муж. род, er"
seines,"Притяжательные Родительный, ср. род, er"
seiner,"Притяжательные Родительный, жен. род, er"
seiner,"Притяжательные Родительный, мн. число, er"
ihr,"Притяжательные Именительный, муж. род, sie_sg"
ihr,"Притяжательные Именительный, ср. род, sie_sg"
ihre,"Притяжательные Именительный, жен. род, sie_sg"
ihre,"Притяжательные Именительный, мн. число, sie_sg"
ihren,"Притяжательные Винительный, муж. род, sie_sg"
ihr,"Притяжательные Винительный, ср. род, sie_sg"
ihre,"Притяжательные Винительный, жен. род, sie_sg"
ihre,"Притяжательные Винительный, мн. число, sie_sg"
ihrem,"Притяжательные Дательный, муж. род, sie_sg"
ihrem,"Притяжательные Дательный, ср. род, sie_sg"
ihrer,"Притяжательные Дательный, жен. род, sie_sg"
ihren,"Притяжательные Дательный, мн. число, sie_sg"
ihres,"Притяжательные Родительный, муж. род, sie_sg"
ihres,"Притяжательные Родительный, ср. род, sie_sg"
ihrer,"Притяжательные Родительный, жен. род, sie_sg"
ihrer,"Притяжательные Родительный, мн. число, sie_sg"
sein,"Притяжательные Именительный, муж. род, es"
sein,"Притяжательные Именительный, ср. род, es"
seine,"Притяжательные Именительный, жен. род, es"
seine,"Притяжательные Именительный, мн. число, es"
seinen,"Притяжательные Винительный, муж. род, es"
sein,"Притяжательные Винительный, ср. род, es"
seine,"Притяжательные Винительный, жен. род, es"
seine,"Притяжательные Винительный, мн. число, es"
seinem,"Притяжательные Дательный, муж. род, es"
seinem,"Притяжательные Дательный, ср. род, es"
seiner,"Притяжательные Дательный, жен. род, es"
seinen,"Притяжательные Дательный, мн. число, es"
seines,"Притяжательные Родительный, муж. род, es"
seines,"Притяжательные Родительный, ср. род, es"
seiner,"Притяжательные Родительный, жен. род, es"
seiner,"Притяжательные Родительный, мн. число, es"
unser,"Притяжательные Именительный, муж. род, wir"
unser,"Притяжательные Именительный, ср. род, wir"
unsere,"Притяжательные Именительный, жен. род, wir"
unsere,"Притяжательные Именительный, мн. число, wir"
unseren,"Притяжательные Винительный, муж. род, wir"
unser,"Притяжательные Винительный, ср. род, wir"
unsere,"Притяжательные Винительный, жен. род, wir"
unsere,"Притяжательные Винительный, мн. число, wir"
unserem,"Притяжательные Дательный, муж. род, wir"
unserem,"Притяжательные Дательный, ср. род, wir"
unserer,"Притяжательные Дательный, жен. род, wir"
unseren,"Притяжательные Дательный, мн. число, wir"
unseres,"Притяжательные Родительный, муж. род, wir"
unseres,"Притяжательные Родительный, ср. род, wir"
unserer,"Притяжательные Родительный, жен. род, wir"
unserer,"Притяжательные Родительный, мн. число, wir"
euer,"Притяжательные Именительный, муж. род, ihr"
euer,"Притяжательные Именительный, ср. род, ihr"
euere,"Притяжательные Именительный, жен. род, ihr"
euere,"Притяжательные Именительный, мн. число, ihr"
eueren,"Притяжательные Винительный, муж. род, ihr"
euer,"Притяжательные Винительный, ср. род, ihr"
euere,"Притяжательные Винительный, жен. род, ihr"
euere,"Притяжательные Винительный, мн. число, ihr"
euerem,"Притяжательные Дательный, муж. род, ihr"
euerem,"Притяжательные Дательный, ср. род, ihr"
euerer,"Притяжательные Дательный, жен. род, ihr"
eueren,"Притяжательные Дательный, мн. число, ihr"
eueres,"Притяжательные Родительный, муж. род, ihr"
eueres,"Притяжательные Родительный, ср. род, ihr"
euerer,"Притяжательные Родительный, жен. род, ihr"
euerer,"Притяжательные Родительный, мн. число, ihr"
ihr,"Притяжательные Именительный, муж. род, sie_pl"
ihr,"Притяжательные Именительный, ср. род, sie_pl"
ihre,"Притяжательные Именительный, жен. род, sie_pl"
ihre,"Притяжательные Именительный, мн. число, sie_pl"
ihren,"Притяжательные Винительный, муж. род, sie_pl"
ihr,"Притяжательные Винительный, ср. род, sie_pl"
ihre,"Притяжательные Винительный, жен. род, sie_pl"
ihre,"Притяжательные Винительный, мн. число, sie_pl"
ihrem,"Притяжательные Дательный, муж. род, sie_pl"
ihrem,"Притяжательные Дательный, ср. род, sie_pl"
ihrer,"Притяжательные Дательный, жен. род, sie_pl"
ihren,"Притяжательные Дательный, мн. число, sie_pl"
ihres,"Притяжательные Родительный, муж. род, sie_pl"
ihres,"Притяжательные Родительный, ср. род, sie_pl"
ihrer,"Притяжательные Родительный, жен. род, sie_pl"
ihrer,"Притяжательные Родительный, мн. число, sie_pl"
Ihr,"Притяжательные Именительный, муж. род, Sie"
Ihr,"Притяжательные Именительный, ср. род, Sie"
Ihre,"Притяжательные Именительный, жен. род, Sie"
Ihre,"Притяжательные Именительный, мн. число, Sie"
Ihren,"Притяжательные Винительный, муж. род, Sie"
Ihr,"Притяжательные Винительный, ср. род, Sie"
Ihre,"Притяжательные Винительный, жен. род, Sie"
Ihre,"Притяжательные Винительный, мн. число, Sie"
Ihrem,"Притяжательные Дательный, муж. род, Sie"
Ihrem,"Притяжательные Дательный, ср. род, Sie"
Ihrer,"Притяжательные Дательный, жен. род, Sie"
Ihren,"Притяжательные Дательный, мн. число, Sie"
Ihres,"Притяжательные Родительный, муж. род, Sie"
Ihres,"Притяжательные Родительный, ср. род, Sie"
Ihrer,"Притяжательные Родительный, жен. род, Sie"
Ihrer,"Притяжательные Родительный, мн. число, Sie"
eurer,
sich,
dieser,
diese,
