De,Ru
die Mitte,середина
der Osten,восток
das Ende,конец
rechts,справа
oben,наверху
dort,там
unten,внизу
unter,под
draußen,снаружи / на улице
hinten,сзади
links,слева
hinter,за / позади
weg sein,быть не здесь / отсутствовать / уйти
auf sein,быть открытым
zu sein,быть закрытым
aus sein,быть выключенным / не работать [о технике]
an sein,быть включённым / работать
haben,иметь
müssen,быть должным / обязанным
sein,быть
sollen,быть должным / иметь приказ
werden,становиться
heißen,называться
können,мочь / уметь
brauchen,нуждаться
wollen,хотеть
bekommen,получать
kriegen,получать / воевать
dürfen,мочь / иметь право / разрешение
gehören,принадлежать
schlafen,спать
laufen,бежать
stehen,стоять
fahren,ехать
aufstehen,вставать
fliegen,летать
liegen,лежать
kommen,"приходить, приезжать"
sitzen,сидеть
tanzen,танцевать
gehen,идти
spielen,играть
alt,старый
klein,маленький
neu,новый
groß,большой / взрослый
jung,молодой
schön,красивый
gut,хороший
kurz,короткий
schlecht,плохой
lang,длинный
normal,нормальный
hoch,высокий / вверх
aber,но
vor,перед
oder,или
zwischen,между
und,и
über,над
ab,(врем)начиная с(будущ)
um,вокруг/во(врем)/о/из-за
an,"у, на (верт. пов.)"
ohne,без
aus,из / изнутри
durch,через / сквозь
in,(прдл) в/через (время)
nach,после
auf,на (гориз. пов.)
zu,к / слишком
von,от
auch,тоже (добавление)
bis,(прдл) до
dann,"потом / затем / тогда"
für,для
denn,потому что / ведь
gegen,против
noch,ещё
bei,возле / при / у
sehr,очень
vielleicht,возможно / может быть
also,итак / значит
möglich,возможно / реально / осуществимо
so,так / настолько
nur,только (огранич.; совет)
lieber,лучше / охотнее
wunderbar,чудесный / чудный
besser,лучше
nicht,не
weiter,дальше
nichts,ничего / ничто
leider,к сожалению
das Wetter,погода
der Regen,дождь
der Grad,градус
der See,озеро
klar,ясно
das Meer,море
die Sonne,солнце
das Feuer,огонь
scheinen,светить
der Baum,дерево
der Wind,ветер
die Blume,цветок
regnen,идёт дождь
das Kind,ребёнок
männlich,мужественный / мужской
der Junge,мальчик
die Frau,женщина
das Mädchen,девочка
die Dame,дама
der Jugendliche,молодой человек / девушка
weiblich,женственный / женский
der Mensch,человек
der Herr,мужчина / господин
die Leute,люди
der Mann,мужчина
international,интернациональный
der Gruß,приветствие
bitten,просить
(sich) vorstellen,представлять(ся
die Bitte,просьба
sagen,сказать
danken,благодарить
sprechen,говорить
der Dank,благодарность
fragen,спрашивать
(sich) entschuldigen,извинять(ся
die Frage,вопрос
die Entschuldigung,извинение
antworten,отвечать
helfen,помогать
die Antwort,ответ
die Hilfe,помощь
erzählen,рассказывать
das Telefon,телефон
telefonieren,говорить по телефону
das Handy,мобильный телефон
wiederholen,повторять
anrufen,звонить кому-либо по телефону
verstehen,понимать
der Anruf,телефонный звонок
buchstabieren,диктовать по буквам
der Anrufbeantworter,автоответчик
hören,слышать
glauben,верить / считать
sehen,видеть
lustig,весёлый
schmecken,чувствовать вкус / быть на вкус
zufrieden,довольный
riechen,чувствовать запах / пахнуть
ruhig,спокойный
(sich) freuen,радовать(ся
böse,злой
lachen,смеяться
müde,усталый
gefallen,нравиться
glücklich,счастливый
mögen,испытывать симпатию / любить
das Glück,счастье
lieben,любить
heiraten,жениться / выходить замуж
die Tochter,дочь
sich kümmern,заботиться / позаботиться
der Bruder,брат
die Familie,семья
die Schwester,сестра
die Ehefrau,жена
der Verwandte,родственник
der Ehemann,Муж
die Geschwister,братья и сёстры
der Partner,Партнёр
die Großeltern,бабушки и дедушки
die Mutter,мама
die Großmutter,бабушка
der Vater,отец
der Großvater,дедушка
die Eltern,родители
die Oma,бабуля
das Baby,младенец
der Opa,дедуля
der Sohn,сын
der Hund,собака
fremd,чужой
beide,оба
kennen,быть знакомым
(sich) treffen,встречать(ся
kennenlernen,знакомиться
warten,ждать
bekannt,известный
besuchen,посещать
der Bekannte,знакомый
bleiben,оставаться
der Freund,друг
übernachten,переночевать
gleich,равный / похожий / вот-вот
mitbringen,приносить с собой
allein,один / в одиночку
mitkommen,прийти вместе с кем-либо
zusammen,вместе
mitmachen,делать что-то вместе с кем-то
die Party,вечеринка
mitnehmen,взять с собой
die Disco,дискотека
gratulieren,поздравлять
die Hochzeit,свадьба
der Glückwunsch,пожелание счастья / пожелание к празднику
die Einladung,приглашение
herzlich,сердечно
einladen,приглашать
feiern,праздновать
der Gast,гость
grillen,жарить гриль
das Geschenk,подарок
der Hunger,голод
trinken,пить
der Durst,жажда
bitter,горький
der Appetit,аппетит
frühstücken,завтракать
kochen,готовить
das Frühstück,завтрак
essen,есть (принимать пищу)
das Glas,бокал / стекло
das Essen,еда
die Flasche,бутылка
die Bäckerei,пекарня
das Restaurant,ресторан
das Café,кафе
die Speisekarte,меню
das Lokal,кафе / забегаловка
die Butter,сливочное масло
der Fisch,рыба
das Ei,яйцо
das Fleisch,плоть / мясо
das Brot,хлеб
das Hähnchen,курочка
das Brötchen,булочка
der Schinken,ветчина
der Kuchen,пирог
das Öl,масло
die Pommes frites,картошка фри
das Salz,соль
der Reis,рис
das Obst,фрукты
das Gemüse,овощ
der Apfel,яблоко
die Kartoffel,картофель
die Banane,банан
der Salat,салат
die Birne,груша
die Tomate,помидор
das Getränk,напиток
der Saft,сок
der Tee,чай
das Wasser,вода
der Kaffee,кофе
das Bier,пиво
die Milch,молоко
der Wein,вино
die Anzeige,объявление / заявление
mieten,снимать жильё
wohnen,жить (проживать в городе)
die Miete,арендная плата
die Wohnung,квартира
vermieten,сдавать
das Apartment,апартаменты
der Vermieter,арендодатель
das Haus,дом
umziehen,переезжать
der Eingang,вход / подъезд
die Dusche,душ
der Ausgang,выход
der Balkon,балкон
die Halle,зал
die Küche,кухня
die Toilette,туалет
der Aufzug,лифт
hell,яркий / светлый
die Treppe,лестница
breit,широкий / широко
die Ecke,угол
kaputt,сломанный
der Raum,пространство / комната / космос
reparieren,чинить
das Zimmer,комната
die Reparatur,починка / ремонт
die Farbe,краска / цвет
der Anschluss,подключение
das Bad,ванна
die Möbel,мебель
der Schlüssel,ключ
das Bett,кровать
der Schrank,шкаф
das Sofa,диван
der Kühlschrank,холодильник
der Tisch,стол
der Herd,кухонная плита
das Bild,картина
das Licht,свет
die Uhr,часы
machen,делать
öffnen,открывать
ausmachen,выключать
schließen,закрывать
anmachen,включать
bringen,приносить
tun,делать / поступать
holen,приносить / доставать
suchen,искать
geben,давать
finden,находить / считать
stellen,ставить
nehmen,брать
legen,класть
halten,держать / останавливаться
beginnen,начинать
benutzen,использовать / применять
aufhören,прекращать
das Hobby,хобби
das Kino,кинотеатр
lesen,читать
der Garten,сад
das Buch,книга
kulturell,культурный
die Zeitung,газета
das Lied,песня
fernsehen,смотреть телевизор
rauchen,курить
der Film,фильм
die Zigarette,сигарета
der Sport,спорт
schwimmen,плавать
der Verein,объединение / общество
das Schwimmbad,бассейн
der Fußball,футбол [Sn.] / футбольный мяч
gewinnen,выигрывать
der Bogen,дуга / лук
der Laden,магазин
günstig,доступный (по цене)
das Geschäft,бизнес / магазин
billig,дешёвый
der Kiosk,киоск
teuer,дорогой
geöffnet,открыто / открытый
bestellen,заказывать
geschlossen,закрыто / закрытый
die Kasse,касса
anbieten,предлагать
zahlen,платить
das Angebot,предложение (оффер)
bezahlen,оплачивать
der Prospekt,проспект
die Tasche,карман / сумка
kaufen,покупать
empfehlen,"советовать,рекомендовать"
einkaufen,делать покупки
die Größe,размер
verkaufen,продавать
die Jacke,куртка
der Verkäufer,продавец
die Kleidung,вещи / одежда
kosten,стоить
der Schuh,ботинок
der Preis,цена
die Heimat,родина
der Ausländer,иностранец
reisen,путешествовать
wandern,ходить в пеший поход
ausländisch,иностранный
die Reise,путешествие
das Hotel,гостиница / отель
das Reisebüro,бюро путешествий
die Rezeption,рецепция
der Reiseführer,гид
das Doppelzimmer,комната на двоих в отеле
der Koffer,чемодан
das Einzelzimmer,комната на одного в отеле
das Gepäck,багаж
die Halbpension,полупансион
abfahren,выезжать / отъезжать / отправляться
die Karte,карта
die Abfahrt,отправление / отъезд
der Ausflug,экскурсия / поездка с целью развлечения
abfliegen,вылетать
der Plan,план
der Abflug,вылет
eilig,спешный / спешно
ankommen,прибывать / приезжать
die Eile,спешка
die Ankunft,прибытие
die Sehenswürdigkeit,достопримечательность
das Ausland,заграница
besichtigen,осматривать
das Auto,машина
das Fahrrad,велосипед
die Autobahn,скоростная трасса
Rad fahren,ехать на велосипеде
das Taxi,такси
der Lkw,грузовик
der Fahrer,водитель
die Fahrkarte,проездной билет
der Bus,автобус
das Ticket,билет
die Haltestelle,остановка транспорта
einsteigen,входить / садиться
die Bahn,железная дорога
aussteigen,выходить
die S-Bahn,пригородная электричка в германии
frei,свободно / свободный
die Straßenbahn,трамвай
besetzt,занято
der Zug,поезд
langsam,медленный
der Bahnhof,вокзал
schnell,быстрый
der Bahnsteig,железнодорожная платформа
der Automat,автомат
das Gleis,железнодорожный путь
automatisch,автоматически
das Flugzeug,самолёт
die Maschine,механизм / станок
der Flughafen,аэропорт
das Schild,знак [дорожный] / щит / вывеска / табличка
der Kopf,голова
aussehen,выглядеть
der Arm,рука
(sich) anziehen,одевать(ся
die Hand,кисть руки
(sich) ausziehen,раздевать(ся
das Bein,нога
baden,принимать ванну / купаться
der Fuß,стопа
(sich) duschen,мыть(ся) в душе
der Bauch,живот
sich waschen,мыться
das Haar,волос
krank,больной
der Mund,рот
weh tun,делать больно
das Auge,глаз
das Fieber,жар
der Blick,взгляд
der Arzt,врач / доктор
das Gewicht,вес
der Doktor,доктор
geboren,рожден(а)
gestorben,умер(ла
leben,жить
tot,мёртвый
das Leben,жизнь
der Kindergarten,детский сад
die Hausaufgabe,домашняя работа
laut,громко
der Test,тест
leise,тихий / тихо
die Prüfung,экзамен
lernen,учить [что-нибудь]
der Bleistift,простой карандаш
die Schule,школа
der Kugelschreiber,шариковая ручка
die Klasse,класс
das Papier,бумага / документ
der Schüler,ученик / школьник
schreiben,писать
der Lehrer,учитель
wissen,знать о чём-то
studieren,учиться
leicht,лёгкий
das Studium,учёба в вузе
einfach,просто
die Gruppe,группа
schwer,тяжёлый / сложный
der Student,студент
die Lösung,решение / ответ [к задаче]
der Unterricht,занятие
fertig,готовый / готово
die Pause,пауза / перерыв
das Ergebnis,результат
das Thema,тема
richtig,правильный / верный
die Information,информация
falsch,неправильный / ложный
das Beispiel,пример
der Fehler,ошибка
zum Beispiel,например
fehlen,отсутствовать
erklären,объяснять
das Praktikum,практика [после учёбы]
die Aufgabe,задание
der Kurs,курс
der Buchstabe,буква
die Sprache,речь / язык
das Wort,слово
die Aussage,высказывание
der Satz,предложение (язык)
bedeuten,означать / значить
der Text,текст
der Beruf,"род занятий / профессия"
der Chef,шеф
arbeiten,работать
der Kollege,коллега
die Arbeit,работа
der Kunde,клиент
die Anrede,обращение / официальная речь
arbeitslos,безработный
die Ansage,объявление / оповещение о чём-либо
die Firma,фирма
die Durchsage,объявление
selbstständig,самостоятельный / самозанятый
das Gespräch,разговор
die Praxis,врачебный кабинет
das Problem,проблема
die Hausfrau,домохозяйка
wichtig,важно
der Hausmann,домохозяин
der Schluss,конец / завершение
der Arbeitsplatz,рабочее место
der Urlaub,отпуск
die Stelle,место / позиция / должность
verdienen,зарабатывать
die Führung,управление / руководство
der Computer,компьютер
drucken,печатать
das Internet,интернет
drücken,нажимать
das Fax,факс
anklicken,кликнуть мышкой
der Drucker,принтер
die CD,компакт-диск
der Eintritt,вступление [в организацию / партию] / вход [на мероприятие]
der Zoll,таможня
der Termin,запись на время
die Polizei,полиция
der Schalter,переключатель / окошко [в гос.органах / банке]
der Ausweis,документ / удостоверяющий личность
pünktlich,вовремя
der Pass,паспорт
die Nummer,номер
die Papiere,документы
(sich) anmelden,зарегистрировать(ся)
gültig,действительный / актуальный
die Anmeldung,регистрация
die Ordnung,порядок
die Auskunft,выписка / справка
erlauben,разрешать
das Foto,фото
verboten,запрещать / запрещено
der Beamte,госслужащий
das Formular,формуляр
der Geburtsort,место рождения
ausfüllen,заполнять
das Alter,возраст
ankreuzen,отметить крестиком
der Familienstand,семейное положение
der Name,имя
ledig,холостой
der Vorname,имя (в отличие от фамилии)
verheiratet,женат / замужем
unterschreiben,подписывать
das Geburtsjahr,год рождения
die Unterschrift,подпись
der Geburtstag,день рождения
die Bank,скамья / банк
das Konto,счёт (учетная запись)
die Kreditkarte,кредитная карта
das Geld,деньги
die Rechnung,счёт (документ)
bar,наличные
überweisen,переводить
die Post,почта
die Postleitzahl,почтовый индекс
der Brief,письмо
abgeben,отдавать
die Briefmarke,почтовая марка
schicken,отправлять / посылать
der Absender,отправитель
abholen,забирать
der Empfänger,получатель / адресат
die Vorwahl,телефонный код
die Adresse,адрес
